shopId,shopName,allCommentNum
738029,北京东来顺（东湖店）,1211
185739525,乐佳蛋糕（青年城店）,4
6253025,真功夫（华中科技大学店）,1300
5059952,小肥羊（武汉雄楚一号店）,5065
73451659,米兰西饼蛋糕（光谷总部国际分店）,155
1543197,两岸咖啡（光谷软件园店）,568
52984937,探蛙（光谷世界城店）,2026
73451659,米兰西饼蛋糕（光谷总部国际分店）,155
748885,棒约翰比萨（武汉世界城店）,659
737846,口味堂（珞喻路总店）,2234
185739525,乐佳蛋糕（青年城店）,4
40946789,派乐汉堡（民族大道店）,471
56866,金韩宫韩国烧烤（光谷店）,7568
587715949,本宫的茶（光谷店）,24
5578330,风波庄（财大店）,552
41938475,金谷国际酒店·花语西餐厅,607
5979526,土苗风情（鲁巷709研究所院店）,378
1541931,土家幺妹酒家（光谷店）,346
41031609,绿色甜蜜美食坊,122
1077337,杨氏大圣甲鱼,72
41825840,和味小厨,371
748894,仓桥家日式料理（光谷意大利风情街店）,1754
