shopId,shopName,allCommentNum
748894,仓桥家日式料理（光谷意大利风情街店）,1757
1423150,武汉光谷金盾大酒店（派瑞阁西餐厅）,895
742494,湖滨花园酒店武德楼川味火锅,3691
42120227,吃品堂麻辣香锅（澳门街美食城店）,143
42120227,吃品堂麻辣香锅（澳门街美食城店）,143
6548694,湖滨花园武德楼荆楚宴,193
1898404,肥肥虾庄（南湖大道店）,1176
51469339,水果巴士（世界城广场店）,499
52643856,天赐老味菜馆,22
4110020,neargo猫岛咖啡,259
51609999,安布咖啡,22
4506603,嫣书食府,196
742647,易记酸辣粉（澳门街美食城店）,298
742736,麦香城蛋糕（中南民族大学店）,23
5534854,南海底平价小海鲜（创业街店）,2238
51003002,木碳吧韩国烤肉（财大店）,868
4454197,momo时光欢乐餐厅,1420
5218756,江湖飞饼（澳门街美食城店）,113
5827508,天时饭庄罗田吊锅,4
